CallNo,RptNo,PRA,Beat,OffId,FromDateTime,ToDateTime,NatCall,Title,Location,AptNo,RunDate,RunDataBeginDate,RunDataEndDate,lon,lat,address
122360029,120049870,228,260,2523,8/22/2012 15:00,8/22/2012 17:30,BURAPT,BURGLARY--APARTMENT,600 GRAND AV,101,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.113229,32.722121,"600 grand avenue, fort worth, tx 76010, usa"
122400432,120050798,316,460,1546,8/27/2012 10:10,8/27/2012 11:07,BURAPT,BURGLARY--APARTMENT,3202 RAMBLEWOOD CR,1014,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1099355,32.6927345,"3202 ramblewood circle, arlington, tx 76014, usa"
122420849,120051245,267,450,2633,8/20/2012 16:00,8/28/2012 16:30,BURAPT,BURGLARY--APARTMENT,2009 CEDAR POINT DR,2099,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0764347,32.712598,"2009 cedar point drive, arlington, tx 76010, usa"
122450105,120051802,30,240,2753,8/26/2012 9:00,9/1/2012 1:00,BURAPT,BURGLARY--APARTMENT,2201 LINCOLN DR,203,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1051396,32.7697456,"2201 lincoln drive, arlington, tx 76011, usa"
122450500,120051909,249,430,2652,9/1/2012 0:01,9/1/2012 3:00,BURAPT,BURGLARY--APARTMENT,511 E ARKANSAS LN,D46,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1048239,32.7064207,"511 east arkansas lane, arlington, tx 76010, usa"
122060299,120043582,370,470,1449,7/23/2012 0:20,7/24/2012 8:00,BURAPT,BURGLARY--APARTMENT,1010 E ARKANSAS LN,52,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.095139,32.705277,"1010 east arkansas lane, arlington, tx 76014, usa"
122170175,120045922,248,430,2626,8/4/2012 3:37,,BURAPT,BURGLARY--APARTMENT,600 W PIONEER PW,434-5,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1080656,32.735687,"arlington, tx, usa"
122180629,120046192,12,210,2220,8/5/2012 8:00,8/5/2012 17:09,BURAPT,BURGLARY--APARTMENT,2800 RIVERPLACE DR,1045,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1057987,32.7856722,"2800 riverplace drive, arlington, tx 76006, usa"
122200734,120046586,95,240,2572,8/7/2012 8:30,8/7/2012 16:30,BURAPT,BURGLARY--APARTMENT,1808 CARRIAGE HOUSE CR,508,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0897572,32.7641469,"1808 carriage house circle, arlington, tx 76011, usa"
122220726,120046996,274,450,2695,8/9/2012 15:29,,BURAPT,BURGLARY--APARTMENT,2210 ELMWOOD DR,525,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0667101,32.7085113,"2210 elmwood drive, arlington, tx 76010, usa"
